City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,71.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Bethel,US,64.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
6,Hamilton,US,62.01,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
8,Niquelandia,BR,71.15,scattered clouds,-14.4739,-48.4597,Hotel Suinã
9,Siniscola,IT,59.0,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
11,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
14,Libourne,FR,55.99,mist,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
16,Hermanus,ZA,60.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Comodoro Rivadavia,AR,57.2,clear sky,-45.8667,-67.5,Austral Hotel
19,Lompoc,US,60.8,scattered clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
21,Puerto Colombia,CO,78.8,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
23,Mataura,NZ,62.01,broken clouds,-46.1927,168.8643,Ellie's Villa
24,Airai,TL,62.94,overcast clouds,-8.9266,125.4092,Juvinal Martin
25,Puerto Ayora,EC,78.8,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
28,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,Pension Maro'i
29,Yenagoa,NG,78.57,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
34,Bluff,NZ,62.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
36,Ithaca,US,69.8,clear sky,42.4406,-76.4966,Meadow Court Inn
37,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
38,Busselton,AU,59.0,light rain,-33.65,115.3333,Observatory Guest House
41,Port Alfred,ZA,70.34,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Ponta Do Sol,PT,60.01,overcast clouds,32.6667,-17.1,Hotel do Campo
43,Mingaora,PK,59.77,broken clouds,34.7758,72.3625,Burj Al Swat
46,Hasaki,JP,52.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
47,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Sibiti,CG,69.98,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
49,Cha Grande,BR,73.4,moderate rain,-8.2383,-35.4617,Pousada Adália
57,Samana,DO,78.8,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
58,Cidreira,BR,75.24,moderate rain,-30.1811,-50.2056,Hotel Castelo
59,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
62,Fortuna,US,57.0,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
63,Los Llanos De Aridane,ES,64.4,clear sky,28.6585,-17.9182,Valle Aridane
65,Mount Gambier,AU,53.6,broken clouds,-37.8333,140.7667,Commodore on the Park
