,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Erdenet,MN,49.0333,104.0833,21.11,71,100,16.51,overcast clouds
1,Jamestown,US,42.097,-79.2353,71.6,28,1,12.66,clear sky
2,Bethel,US,41.3712,-73.414,64.0,78,62,6.58,broken clouds
3,Faanui,PF,-16.4833,-151.75,82.27,70,59,9.6,broken clouds
4,Avarua,CK,-21.2078,-159.775,82.4,78,40,8.05,scattered clouds
5,Svetlogorsk,BY,52.6333,29.7333,40.59,70,11,8.81,few clouds
6,Hamilton,US,39.1834,-84.5333,62.01,88,90,11.5,mist
7,Mumford,GH,5.2618,-0.759,80.8,87,61,8.72,broken clouds
8,Niquelandia,BR,-14.4739,-48.4597,71.15,80,33,2.01,scattered clouds
9,Siniscola,IT,40.5719,9.6922,59.0,77,0,8.05,clear sky
10,Yellowknife,CA,62.456,-114.3525,10.99,48,40,10.36,scattered clouds
11,Carnarvon,AU,-24.8667,113.6333,78.8,83,99,19.57,overcast clouds
12,Hobart,AU,-42.8794,147.3294,46.0,81,75,17.27,moderate rain
13,Norman Wells,CA,65.282,-126.8329,-5.8,71,90,10.36,light snow
14,Libourne,FR,44.9167,-0.25,55.99,94,90,10.36,mist
15,Chokurdakh,RU,70.6333,147.9167,-16.74,99,100,1.28,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,60.01,92,100,2.93,overcast clouds
17,Lokosovo,RU,61.1333,74.8167,33.03,99,100,1.19,light rain
18,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,58,0,24.16,clear sky
19,Lompoc,US,34.6391,-120.4579,60.8,55,39,18.41,scattered clouds
20,Thompson,CA,55.7435,-97.8558,39.2,56,40,8.05,scattered clouds
21,Puerto Colombia,CO,10.9878,-74.9547,78.8,89,40,5.75,scattered clouds
22,Kintampo,GH,8.0563,-1.7306,81.63,60,100,7.05,moderate rain
23,Mataura,NZ,-46.1927,168.8643,62.01,86,63,8.99,broken clouds
24,Airai,TL,-8.9266,125.4092,62.94,75,90,1.5,overcast clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,40,8.05,light rain
26,Victoria,HK,22.2855,114.1577,71.01,81,65,1.99,broken clouds
27,Qaanaaq,GL,77.484,-69.3632,16.48,86,100,4.23,light snow
28,Rikitea,PF,-23.1203,-134.9692,78.96,71,0,9.33,clear sky
29,Yenagoa,NG,4.9247,6.2642,78.57,86,68,3.98,broken clouds
30,New Norfolk,AU,-42.7826,147.0587,46.0,90,99,7.96,light rain
31,Grindavik,IS,63.8424,-22.4338,33.8,100,90,11.5,light rain
32,Punta Arenas,CL,-53.15,-70.9167,48.2,71,40,16.11,scattered clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,1,11.5,clear sky
34,Bluff,NZ,-46.6,168.3333,62.01,86,85,8.99,overcast clouds
35,San Andres,CO,12.5847,-81.7006,82.4,78,90,4.61,overcast clouds
36,Ithaca,US,42.4406,-76.4966,69.8,52,1,11.5,clear sky
37,Kapaa,US,22.0752,-159.319,75.2,57,75,12.66,broken clouds
38,Busselton,AU,-33.65,115.3333,59.0,89,100,1.01,light rain
39,Butaritari,KI,3.0707,172.7902,81.99,77,99,14.65,overcast clouds
40,Marzuq,YE,14.4,46.4667,66.87,21,0,6.17,clear sky
41,Port Alfred,ZA,-33.5906,26.891,70.34,90,90,1.95,overcast clouds
42,Ponta Do Sol,PT,32.6667,-17.1,60.01,72,93,1.01,overcast clouds
43,Mingaora,PK,34.7758,72.3625,59.77,46,79,6.26,broken clouds
44,Gandajika,CD,-6.75,23.95,64.72,97,95,4.16,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,83.32,69,56,12.88,broken clouds
46,Hasaki,JP,35.7333,140.8333,52.0,66,20,8.05,few clouds
47,Hilo,US,19.7297,-155.09,78.8,53,20,8.05,few clouds
48,Sibiti,CG,-3.6819,13.3499,69.98,97,100,1.36,overcast clouds
49,Cha Grande,BR,-8.2383,-35.4617,73.4,94,75,6.89,moderate rain
50,Dzhankoy,UA,45.7167,34.4,44.33,60,85,11.68,overcast clouds
51,Novobiryusinskiy,RU,56.9578,97.7076,18.18,89,10,1.03,clear sky
52,Qaqortoq,GL,60.7167,-46.0333,37.4,75,48,2.3,scattered clouds
53,Caborca,MX,30.5838,-111.101,93.99,7,10,5.01,clear sky
54,Haines Junction,CA,60.7522,-137.5108,10.4,24,97,5.75,overcast clouds
55,Harnosand,SE,62.6323,17.9379,28.99,86,1,11.14,clear sky
56,Vaini,TO,-21.2,-175.2,80.6,74,20,9.22,few clouds
57,Samana,DO,19.2056,-69.3369,78.8,78,20,9.1,few clouds
58,Cidreira,BR,-30.1811,-50.2056,75.24,80,100,10.09,moderate rain
59,Belmonte,BR,-15.8631,-38.8828,77.0,83,40,3.44,scattered clouds
60,Kodinsk,RU,58.6881,99.1844,12.16,94,13,2.21,few clouds
61,Bolshevik,BY,54.0065,27.5692,46.4,57,0,6.71,clear sky
62,Fortuna,US,40.5982,-124.1573,57.0,54,20,19.57,few clouds
63,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,0,5.75,clear sky
64,Flin Flon,CA,54.7682,-101.865,42.8,45,75,6.91,broken clouds
65,Mount Gambier,AU,-37.8333,140.7667,53.6,66,75,21.85,broken clouds
66,Ushuaia,AR,-54.8,-68.3,50.0,57,40,5.75,scattered clouds
67,Shaoyang,CN,27.2315,111.4525,55.58,95,100,2.1,overcast clouds
68,Kenai,US,60.5544,-151.2583,24.8,38,1,12.66,clear sky
69,Waipawa,NZ,-41.4122,175.5153,66.2,77,75,18.41,broken clouds
70,Maragogi,BR,-9.0122,-35.2225,77.59,88,99,9.98,overcast clouds
71,Idenao,CM,4.2475,9.0047,79.0,91,100,1.97,light rain
72,Primorsk,UA,46.7348,36.3443,45.68,59,45,13.82,scattered clouds
73,Atbasar,KZ,51.8,68.3333,28.2,90,6,9.86,clear sky
74,Lata,PT,40.1629,-8.3327,57.99,95,44,1.32,scattered clouds
75,Faya,SA,18.3851,42.4509,62.6,23,20,5.75,few clouds
76,Komsomolskiy,UZ,40.4272,71.7189,55.4,41,1,9.22,clear sky
